old_url,match_type,matched_fern_file,matched_slug,new_slug,confidence,match_method,notes
/compatibility-api/client-sdks/methods/incoming-phone-numbers,slug_changed,compatibility-api\pages\sdks\methods\incoming-phone-numbers\index.mdx,sdks/methods/incoming-phone-numbers,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/incoming-phone-numbers/create,slug_changed,compatibility-api\pages\sdks\methods\incoming-phone-numbers\create.mdx,sdks/methods/incoming-phone-numbers/create,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/incoming-phone-numbers/delete,slug_changed,compatibility-api\pages\sdks\methods\incoming-phone-numbers\delete.mdx,sdks/methods/incoming-phone-numbers/delete,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/incoming-phone-numbers/list,slug_changed,compatibility-api\pages\sdks\methods\incoming-phone-numbers\list.mdx,sdks/methods/incoming-phone-numbers/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/incoming-phone-numbers/retrieve,slug_changed,compatibility-api\pages\sdks\methods\incoming-phone-numbers\retrieve.mdx,sdks/methods/incoming-phone-numbers/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/incoming-phone-numbers/update,slug_changed,compatibility-api\pages\sdks\methods\incoming-phone-numbers\update.mdx,sdks/methods/incoming-phone-numbers/update,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/media,slug_changed,compatibility-api\pages\sdks\methods\media\index.mdx,sdks/methods/media,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/media/delete,slug_changed,compatibility-api\pages\sdks\methods\media\delete.mdx,sdks/methods/media/delete,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/media/list,slug_changed,compatibility-api\pages\sdks\methods\media\list.mdx,sdks/methods/media/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/media/retrieve,slug_changed,compatibility-api\pages\sdks\methods\media\retrieve.mdx,sdks/methods/media/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/messaging,slug_changed,compatibility-api\pages\sdks\methods\messaging\index.mdx,sdks/methods/messaging,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/messaging/create,slug_changed,compatibility-api\pages\sdks\methods\messaging\create.mdx,sdks/methods/messaging/create,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/messaging/delete,slug_changed,compatibility-api\pages\sdks\methods\messaging\delete.mdx,sdks/methods/messaging/delete,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/messaging/list,slug_changed,compatibility-api\pages\sdks\methods\messaging\list.mdx,sdks/methods/messaging/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/messaging/retrieve,slug_changed,compatibility-api\pages\sdks\methods\messaging\retrieve.mdx,sdks/methods/messaging/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/messaging/update,slug_changed,compatibility-api\pages\sdks\methods\messaging\update.mdx,sdks/methods/messaging/update,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queue-members,slug_changed,compatibility-api\pages\sdks\methods\queue-members\index.mdx,sdks/methods/queue-members,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queue-members/list,slug_changed,compatibility-api\pages\sdks\methods\queue-members\list.mdx,sdks/methods/queue-members/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queue-members/retrieve,slug_changed,compatibility-api\pages\sdks\methods\queue-members\retrieve.mdx,sdks/methods/queue-members/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queue-members/update,slug_changed,compatibility-api\pages\sdks\methods\queue-members\update.mdx,sdks/methods/queue-members/update,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queues,slug_changed,compatibility-api\pages\sdks\methods\queues\index.mdx,sdks/methods/queues,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queues/create,slug_changed,compatibility-api\pages\sdks\methods\queues\create.mdx,sdks/methods/queues/create,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queues/delete,slug_changed,compatibility-api\pages\sdks\methods\queues\delete.mdx,sdks/methods/queues/delete,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queues/list,slug_changed,compatibility-api\pages\sdks\methods\queues\list.mdx,sdks/methods/queues/list,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queues/retrieve,slug_changed,compatibility-api\pages\sdks\methods\queues\retrieve.mdx,sdks/methods/queues/retrieve,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queues/retrieve-members-waiting-in-queue,slug_changed,compatibility-api\pages\sdks\methods\queues\retrieve-members-waiting-in-queue.mdx,sdks/methods/queues/retrieve-members-waiting-in-queue,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/queues/update,slug_changed,compatibility-api\pages\sdks\methods\queues\update.mdx,sdks/methods/queues/update,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/recording-transcriptions,slug_changed,compatibility-api\pages\sdks\methods\recording-transcriptions\index.mdx,sdks/methods/recording-transcriptions,,1.000,compat_sdk_index,Matched via compat SDK directory structure
/compatibility-api/client-sdks/methods/recording-transcriptions/delete,slug_changed,compatibility-api\pages\sdks\methods\recording-transcriptions\delete.mdx,sdks/methods/recording-transcriptions/delete,,1.000,compat_sdk_filename,Matched via compat SDK directory structure
