doc_id,title,slug,file_path,product
9324a243-d40a-471c-8eea-83dabafa65a6,updateMeta,/reference/video/room-session/update-meta,browser-sdk\pages\latest\reference\video\RoomSession\methods\updatemeta.mdx,browser-sdk
fc46fe7a-7fcf-4627-bafb-83f19aa84373,updateMicrophone,/reference/video/room-session/update-microphone,browser-sdk\pages\latest\reference\video\RoomSession\methods\updatemicrophone.mdx,browser-sdk
6c2258fe-d9ae-4d65-92f3-c51e5d6700d7,updateSpeaker,/reference/video/room-session/update-speaker,browser-sdk\pages\latest\reference\video\RoomSession\methods\updatespeaker.mdx,browser-sdk
76d7e4b4-93f5-492a-9e93-ad800a1ef549,videoMute,/reference/video/room-session/video-mute,browser-sdk\pages\latest\reference\video\RoomSession\methods\videomute.mdx,browser-sdk
bc0dc969-d916-4fa1-8a09-32afe09a7818,videoUnmute,/reference/video/room-session/video-unmute,browser-sdk\pages\latest\reference\video\RoomSession\methods\videounmute.mdx,browser-sdk
,audioMute,/reference/video/room-session-device/audio-mute,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\audio-mute.mdx,browser-sdk
,audioUnmute,/reference/video/room-session-device/audio-unmute,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\audio-unmute.mdx,browser-sdk
,join,/reference/video/room-session-device/join,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\join.mdx,browser-sdk
,leave,/reference/video/room-session-device/leave,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\leave.mdx,browser-sdk
,setInputSensitivity,/reference/video/room-session-device/set-input-sensitivity,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\set-input-sensitivity.mdx,browser-sdk
,setInputVolume,/reference/video/room-session-device/set-input-volume,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\set-input-volume.mdx,browser-sdk
,setMicrophoneVolume,/reference/video/room-session-device/set-microphone-volume,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\set-microphone-volume.mdx,browser-sdk
,updateCamera,/reference/video/room-session-device/update-camera,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\update-camera.mdx,browser-sdk
,updateMicrophone,/reference/video/room-session-device/update-microphone,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\update-microphone.mdx,browser-sdk
,videoMute,/reference/video/room-session-device/video-mute,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\video-mute.mdx,browser-sdk
,videoUnmute,/reference/video/room-session-device/video-unmute,browser-sdk\pages\latest\reference\video\RoomSessionDevice\methods\video-unmute.mdx,browser-sdk
