old slug (from Docusaurus sitemap),currrent slug,NOTE
/rest/signalwire-rest/endpoints/fabric/ai-agents-dialogflow,,
/rest/signalwire-rest/endpoints/fabric/ai-agents-list,/apis/fabric/ai-agents-custom/list-ai-agents,
/rest/signalwire-rest/endpoints/fabric/ai-agents-read,/apis/fabric/ai-agents-custom/get-ai-agent,
/rest/signalwire-rest/endpoints/fabric/ai-agents-update,/apis/fabric/ai-agents-custom/update-ai-agent,
/rest/signalwire-rest/endpoints/fabric/call-fabric-api,,
/rest/signalwire-rest/endpoints/fabric/call-flow-addresses-list,/apis/fabric/call-flows/list-call-flow-addresses,
/rest/signalwire-rest/endpoints/fabric/call-flow-versions-deploy,/apis/fabric/call-flows/deploy-call-flow-version,
/rest/signalwire-rest/endpoints/fabric/call-flow-versions-list,/apis/fabric/call-flows/list-call-flow-versions,
/rest/signalwire-rest/endpoints/fabric/call-flows,,
/rest/signalwire-rest/endpoints/fabric/call-flows-create,/apis/fabric/call-flows/create-call-flow,
/rest/signalwire-rest/endpoints/fabric/call-flows-delete,/apis/fabric/call-flows/delete-call-flow,
/rest/signalwire-rest/endpoints/fabric/call-flows-list,/apis/fabric/call-flows/list-call-flows,
/rest/signalwire-rest/endpoints/fabric/call-flows-read,/apis/fabric/call-flows/get-call-flow,
/rest/signalwire-rest/endpoints/fabric/call-flows-update,/apis/fabric/call-flows/update-call-flow,
/rest/signalwire-rest/endpoints/fabric/conference-room-addresses-list,/apis/fabric/conference-rooms/list-conference-room-addresses,
/rest/signalwire-rest/endpoints/fabric/conference-rooms,,
/rest/signalwire-rest/endpoints/fabric/conference-rooms-create,/apis/fabric/conference-rooms/create-conference-room,
/rest/signalwire-rest/endpoints/fabric/conference-rooms-delete,/apis/fabric/conference-rooms/delete-conference-room,
/rest/signalwire-rest/endpoints/fabric/conference-rooms-list,/apis/fabric/conference-rooms/list-conference-rooms,
/rest/signalwire-rest/endpoints/fabric/conference-rooms-read,/apis/fabric/conference-rooms/get-conference-room,
/rest/signalwire-rest/endpoints/fabric/conference-rooms-update,/apis/fabric/conference-rooms/update-conference-room,
/rest/signalwire-rest/endpoints/fabric/cxml-application-addresses-list,/apis/fabric/cxml-applications/list-cxml-application-addresses,
/rest/signalwire-rest/endpoints/fabric/cxml-applications,,
/rest/signalwire-rest/endpoints/fabric/cxml-applications-delete,/apis/fabric/cxml-applications/delete-cxml-application,
/rest/signalwire-rest/endpoints/fabric/cxml-applications-list,/apis/fabric/cxml-applications/list-cxml-applications,
/rest/signalwire-rest/endpoints/fabric/cxml-applications-read,/apis/fabric/cxml-applications/get-cxml-application,
/rest/signalwire-rest/endpoints/fabric/cxml-applications-update,/apis/fabric/cxml-applications/update-cxml-application,
/rest/signalwire-rest/endpoints/fabric/cxml-script-addresses-list,/apis/fabric/cxml-scripts/list-cxml-script-addresses,
/rest/signalwire-rest/endpoints/fabric/cxml-scripts,,
/rest/signalwire-rest/endpoints/fabric/cxml-scripts-create,/apis/fabric/cxml-scripts/create-cxml-script,
/rest/signalwire-rest/endpoints/fabric/cxml-scripts-delete,/apis/fabric/cxml-scripts/delete-cxml-script,
/rest/signalwire-rest/endpoints/fabric/cxml-scripts-list,/apis/fabric/cxml-scripts/list-cxml-scripts,
/rest/signalwire-rest/endpoints/fabric/cxml-scripts-read,/apis/fabric/cxml-scripts/get-cxml-script,
/rest/signalwire-rest/endpoints/fabric/cxml-scripts-update,/apis/fabric/cxml-scripts/update-cxml-script,
/rest/signalwire-rest/endpoints/fabric/cxml-webhook,,
/rest/signalwire-rest/endpoints/fabric/cxml-webhook-addresses-list,/apis/fabric/cxml-webhook/list-cxml-webhook-addresses,
/rest/signalwire-rest/endpoints/fabric/cxml-webhooks-create,/apis/fabric/cxml-webhook/create-cxml-webhook,
/rest/signalwire-rest/endpoints/fabric/cxml-webhooks-delete,/apis/fabric/cxml-webhook/delete-cxml-webhook,
/rest/signalwire-rest/endpoints/fabric/cxml-webhooks-list,/apis/fabric/cxml-webhook/list-cxml-webhooks,
/rest/signalwire-rest/endpoints/fabric/cxml-webhooks-read,/apis/fabric/cxml-webhook/get-cxml-webhook,
/rest/signalwire-rest/endpoints/fabric/cxml-webhooks-update,/apis/fabric/cxml-webhook/update-cxml-webhook,
/rest/signalwire-rest/endpoints/fabric/dialogflow-agent-addresses-list,/apis/fabric/ai-agents-dialogflow/list-dialogflow-agent-addresses,
/rest/signalwire-rest/endpoints/fabric/dialogflow-agents-delete,/apis/fabric/ai-agents-dialogflow/delete-dialogflow-agent,
/rest/signalwire-rest/endpoints/fabric/dialogflow-agents-list,/apis/fabric/ai-agents-dialogflow/list-dialogflow-agents,
/rest/signalwire-rest/endpoints/fabric/dialogflow-agents-read,/apis/fabric/ai-agents-dialogflow/get-dialogflow-agent,
/rest/signalwire-rest/endpoints/fabric/dialogflow-agents-update,/apis/fabric/ai-agents-dialogflow/update-dialogflow-agent,
/rest/signalwire-rest/endpoints/fabric/domain-applications,,
/rest/signalwire-rest/endpoints/fabric/domain-applications-assign,/apis/fabric/domain-applications/assign-resource-domain-application,
/rest/signalwire-rest/endpoints/fabric/embeds-tokens,,
/rest/signalwire-rest/endpoints/fabric/embeds-tokens-create,/apis/fabric/embeds-tokens/create-embeds-token,
/rest/signalwire-rest/endpoints/fabric/fabric-address,,
/rest/signalwire-rest/endpoints/fabric/fabric-addresses-list,/apis/fabric/fabric-address/list-fabric-addresses,
/rest/signalwire-rest/endpoints/fabric/fabric-addresses-read,/apis/fabric/fabric-address/get-fabric-address,
/rest/signalwire-rest/endpoints/fabric/free-switch-connector,,
/rest/signalwire-rest/endpoints/fabric/freeswitch-connector-addresses-list,/apis/fabric/freeswitch-connector/list-freeswitch-connector-addresses,
/rest/signalwire-rest/endpoints/fabric/freeswitch-connectors-create,/apis/fabric/freeswitch-connector/create-freeswitch-connector,
/rest/signalwire-rest/endpoints/fabric/freeswitch-connectors-delete,/apis/fabric/freeswitch-connector/delete-freeswitch-connector,
/rest/signalwire-rest/endpoints/fabric/freeswitch-connectors-list,/apis/fabric/freeswitch-connector/list-freeswitch-connectors,
/rest/signalwire-rest/endpoints/fabric/freeswitch-connectors-read,/apis/fabric/freeswitch-connector/get-freeswitch-connector,
/rest/signalwire-rest/endpoints/fabric/freeswitch-connectors-update,/apis/fabric/freeswitch-connector/update-freeswitch-connector,
/rest/signalwire-rest/endpoints/fabric/guest-tokens-create,/apis/fabric/subscribers-tokens/create-subscriber-guest-token,
/rest/signalwire-rest/endpoints/fabric/invite-tokens-create,/apis/fabric/subscribers-tokens/create-subscriber-invite-token,
/rest/signalwire-rest/endpoints/fabric/phone-routes,,
/rest/signalwire-rest/endpoints/fabric/phone-routes-assign,/apis/fabric/phone-routes/assign-resource-phone-route,
/rest/signalwire-rest/endpoints/fabric/refresh-tokens-create,/apis/fabric/subscribers-tokens/refresh-subscriber-token,
/rest/signalwire-rest/endpoints/fabric/relay-application,,
/rest/signalwire-rest/endpoints/fabric/relay-application-addresses-list,/apis/fabric/relay-application/list-relay-application-addresses,
/rest/signalwire-rest/endpoints/fabric/relay-application-addresses-read-addresses-by-resource-id,/apis/fabric/relay-application/get-relay-application,
/rest/signalwire-rest/endpoints/fabric/relay-applications-create,/apis/fabric/relay-application/create-relay-application,
/rest/signalwire-rest/endpoints/fabric/relay-applications-delete,/apis/fabric/relay-application/delete-relay-application,
/rest/signalwire-rest/endpoints/fabric/relay-applications-list,/apis/fabric/relay-application/list-relay-applications,
/rest/signalwire-rest/endpoints/fabric/relay-applications-read,/apis/fabric/relay-application/get-relay-application,
/rest/signalwire-rest/endpoints/fabric/relay-applications-update,/apis/fabric/relay-application/update-relay-application,
/rest/signalwire-rest/endpoints/fabric/resource-addresses-list,/apis/fabric/resources/list-resource-addresses,
/rest/signalwire-rest/endpoints/fabric/resource-sip-endpoints-assign,/apis/fabric/sip-endpoints/assign-resource-sip-endpoint,
/rest/signalwire-rest/endpoints/fabric/resources,,
/rest/signalwire-rest/endpoints/fabric/resources-delete,/apis/fabric/resources/delete-resource,
/rest/signalwire-rest/endpoints/fabric/resources-list,/apis/fabric/resources/list-resources,
/rest/signalwire-rest/endpoints/fabric/resources-read,/apis/fabric/resources/get-resource,
/rest/signalwire-rest/endpoints/fabric/sip-endpoint-addresses-list,/apis/fabric/sip-endpoints/list-sip-endpoint-addresses,
/rest/signalwire-rest/endpoints/fabric/sip-endpoints,,
/rest/signalwire-rest/endpoints/fabric/sip-endpoints-create,/apis/fabric/sip-endpoints/create-sip-endpoint,
/rest/signalwire-rest/endpoints/fabric/sip-endpoints-delete,/apis/fabric/sip-endpoints/delete-sip-endpoint,
/rest/signalwire-rest/endpoints/fabric/sip-endpoints-list,/apis/fabric/sip-endpoints/list-sip-endpoints,
/rest/signalwire-rest/endpoints/fabric/sip-endpoints-read,/apis/fabric/sip-endpoints/get-sip-endpoint,
/rest/signalwire-rest/endpoints/fabric/sip-endpoints-update,/apis/fabric/sip-endpoints/update-sip-endpoint,
/rest/signalwire-rest/endpoints/fabric/sip-gateway,,
/rest/signalwire-rest/endpoints/fabric/sip-gateways-create,/apis/fabric/sip-gateway/create-sip-gateway,
/rest/signalwire-rest/endpoints/fabric/sip-gateways-delete,/apis/fabric/sip-gateway/delete-sip-gateway,
/rest/signalwire-rest/endpoints/fabric/sip-gateways-list,/apis/fabric/sip-gateway/list-sip-gateways,
/rest/signalwire-rest/endpoints/fabric/sip-gateways-read,/apis/fabric/sip-gateway/get-sip-gateway,
/rest/signalwire-rest/endpoints/fabric/sip-gateways-update,/apis/fabric/sip-gateway/update-sip-gateway,
/rest/signalwire-rest/endpoints/fabric/subscriber-addresses-list,/apis/fabric/subscribers/list-subscriber-addresses,
/rest/signalwire-rest/endpoints/fabric/subscriber-sip-endpoint-create,/apis/fabric/subscribers-sip-endpoints/create-subscriber-sip-endpoint,
/rest/signalwire-rest/endpoints/fabric/subscriber-sip-endpoint-delete,/apis/fabric/subscribers-sip-endpoints/delete-subscriber-sip-endpoint,
/rest/signalwire-rest/endpoints/fabric/subscriber-sip-endpoint-list,/apis/fabric/subscribers-sip-endpoints/list-subscriber-sip-endpoints,
/rest/signalwire-rest/endpoints/fabric/subscriber-sip-endpoint-read,/apis/fabric/subscribers-sip-endpoints/get-subscriber-sip-endpoint,
/rest/signalwire-rest/endpoints/fabric/subscriber-sip-endpoint-update,/apis/fabric/subscribers-sip-endpoints/update-subscriber-sip-endpoint,
/rest/signalwire-rest/endpoints/fabric/subscriber-tokens-create,/apis/fabric/subscribers/create-subscriber-token,
/rest/signalwire-rest/endpoints/fabric/subscribers,,
/rest/signalwire-rest/endpoints/fabric/subscribers-create,/apis/fabric/subscribers/create-subscriber,
/rest/signalwire-rest/endpoints/fabric/subscribers-delete,/apis/fabric/subscribers/delete-subscriber,
/rest/signalwire-rest/endpoints/fabric/subscribers-get,/apis/fabric/subscribers/get-subscriber,
/rest/signalwire-rest/endpoints/fabric/subscribers-list,/apis/fabric/subscribers/list-subscribers,
/rest/signalwire-rest/endpoints/fabric/subscribers-sip-endpoints,,
/rest/signalwire-rest/endpoints/fabric/subscribers-tokens,,
/rest/signalwire-rest/endpoints/fabric/subscribers-update,/apis/fabric/subscribers/update-subscriber,
/rest/signalwire-rest/endpoints/fabric/swml-script-addresses-list,/apis/fabric/swml-scripts/list-swml-script-addresses,
/rest/signalwire-rest/endpoints/fabric/swml-scripts,,
